Composer's Name	Death Year
Sahak Hocasar	1946
Said Dede	1853
Sakýp	
Sakire Diker	
Salide Güneren	
Salih Aða	
Salih Berkmen	
Salih Dündar	
Salih Hayri Efendi	
Salih Korkmaz	
Salih Turhan	
Sâmi Derintuna	
Sami Paþa	
Sami Paþazade Sezâî	
Sâmih Rýfat Bey	
Samim Arýksoy	
Santûrî Ethem Efendi	1926
Sarý Onnik	1885
Sarý Recep	
Satýlmýþ Kýlýç	
Sedat Ergintuð	1981
Sedat Öztoprak	1947
Selahaddin Demirtaþ	
Selahaddin Erköse	
Selahaddin Pýnar	1960
Selahattin Altýnbaþ	2003
Selahattin Ýçli	2006
Selahattin Ýnal	1982
Selahattin Tekakçe	
Selâmi	
Selânikli Ahmed Bey	1928
Selçuk Tekay	
Selim Aru	1986
Selim Öztaþ	
Semahat Özdenses	2008
Semih Mümtaz	
Semra Sima	
Senîh	
Sermed Efendi	
Servet Yesârî	1943
Sevim Þengül	1999
Sevin Yücealp	
Seyfettin Osmanoðlu	1927
Seyfullah Nizamoðlu	
Seyhan Çalýþkan	
Seyhan Girginer	
Seyit Atmaca	
Seyyid Ahmet Aða	1794
Seyyid Nûh	1714
Sezen Aksu	
Sýrrý Abdülbâkî Dede	1751
Sýrrý Sarýsözen	
Sýrrý Uzunhasanoðlu	
Sýrrî	
Silleli Ýbrahim	
Sinan Bey	
Sinan Ozan	
Sinan Sipahi	
Siyami Özel	
Solakzâde	1657
Suat Sayýn	
Sultan I. Ahmet	
Sultan Veled	1312
Suphi Ezgi	1962
Suphi Ziya Özbekkan	1966
Suyolcuzâde Salih Efendi	1862
Sühan Ýrden	
Süleyman Çakal	
Süleyman Çelebi	
Süleyman Erguner	1953
Süleyman Nazif	
Þadan Kalkavan	
Þadi Kurtuluþ	
Þah Ýsmail (Hatayî)	
Þahap Akþahin	
Þahap Gürsel	
Þahin Çaðatay	
Þahin Çandýr	
Þahin Çavuldak	
Þakir Aða	1840
Þefik Gürmeriç	1967
Þehzâde Korkut	1513
Þekerci Cemil Bey	1928
Þekip Ayhan Özýþýk	1981
Þekip Memduh Bey	1938
Þemseddin Ziya Bey	1925
Þemsi Belli	
Þerafettin Aydýnlýk	
Þerafettin Þeref Çakar	2008
Þerefeddin Özdemir	1922
Þerîf Çelebi	
Þerif Ýçli	1956
Þerif Muhittin Targan	1967
Þevket Yanýkoðlu	
Þevki Bey	1891
Þevki Sevgin	
Þeyh Abdullah Salâhî	
Þeyh Abdülbâkî Baykara	
Þeyh Ethem Efendi	1933
Þeyh Galip	
Þeyh Hayrullah Yalým	
Þeyh Hüseyin Halis Efendi	
Þeyh Kirameddin Efendi	
Þeyh Muhyî Efendi	
Þeyh Süleyman Efendi	
Þeyhülislam Esad Efendi	1625
Þîrin	
Þivelioðlu Yorgaki	
Þükrü Öncel	
Þükrü Þenozan	1954
Þükrü Tunar	1962
Þükûfe Nihal Baþar	
T. Savaþ Özkök	
Tab`î Mustafa Efendi	1770
Tâhir Aða	1828
Tahir Efendi (Halifezade)	
Tahir Oturan	
Tahsin Karakuþ	1959
Tahsin Nahid	
Tâlibî Coþkun	
Tanburî Ali Efendi	1890
Tanburî Büyük Osman Bey	1885
Tanburî Cemil Bey	1916
Tanburî Emin Aða	1814
Tanburi Hikmet Bey	
Tanburî Ýsak	1814
Tanburî Ýsmet Aða	1870
Tanburî Küçük Osman Bey	1900
Tanburî Mustafa Çavuþ	1757
Tanburi Osman Aða	
Taner Þener	
Tarýk Kip	
Taþçýzâde Recep Çelebi	1690
Tatyos Efendi	1913
Tekin Gönenç	
Teoman Alpay	2005
Tevfik Baykara	
Tevfik Sâmih Lâmi	
Týðlýzade	
Tokâdî Þekip Bey	
Tony Hatch	
Tosunzade Abdullah Efendi	
Tuncer Gülensoy	
Turan Engin	
Turgut Bey	
Turgut Tarhan	
Turgut Yarkent	2006
Turhan Oðuzbaþ	
